Inside Features: 
inside_unary : 281
NP^g|PRP->it : 40
JJ->jj : 389
NNS->nns : 270
RB->all : 2
RBS->rbs : 1
ADVP^g|RB->also : 7
NNP->u.s. : 9
NP^g|NNS->funds : 2
ADVP^g|RB->there : 2
IN->like : 6
ADJP^g|RP->over : 1
PP^g|TO->to : 1
S^g|VP^g|VBD->vbd : 1
RBR->more : 6
JJ->new : 19
IN->after : 6
NP^g|DT->that : 2
NNS->insiders : 4
NN->nn : 583
RB->out : 1
NP^g|PRP->he : 45
IN->on : 21
DT->these : 7
$->$ : 7
PRT^g|RP->in : 1
PRP->prp : 1
CD->one : 11
NP^g|JJ->second : 1
NNS->banks : 9
ADVP^g|RB->only : 3
NN->technique : 6
NNS->options : 5
NNS->changes : 9
VBN->vbn : 102
NN->% : 7
NP^g|JJR->more : 1
CC->cc : 11
NNS->plants : 15
NP^g|JJ->jj : 4
VBP->have : 12
VBD->had : 8
VBD->proposed : 2
NP^g|CD->one : 4
NP^g|NNS->plants : 1
JJ->such : 8
-LRB-->-lrb- : 8
ADJP^g|RB->rb : 2
PRT^g|RP->off : 8
JJ->second : 5
JJS->most : 1
NP^g|NNS->insiders : 3
ADJP^g|JJR->jjr : 4
NP^g|NNS->securities : 1
VBD->said : 16
NNP->douglas : 9
VBP->are : 29
VBZ->vbz : 61
NN->agency : 8
JJ->male : 5
IN->out : 2
MD->would : 21
NNP->stoltzman : 10
NNP->unesco : 2
NNP->new : 16
FW->fw : 3
NP^g|NNS->sales : 1
NNP->sec : 11
NOTVALID : 6134
IN->by : 31
DT->the : 340
NP^g|DT->each : 1
WRB->when : 1
PP^g|IN->for : 1
NN->year : 6
WHNP^g|WDT->that : 30
NN->fund : 13
NNP->mr. : 36
NP^g|NNPS->nnps : 2
ADVP^g|RBR->rbr : 1
IN->over : 4
IN->than : 15
RB->even : 6
ADJP^g|RB->out : 1
WHNP^g|WP->who : 17
PRP$->prp$ : 4
WHADVP^g|WRB->when : 6
DT->a : 129
IN->at : 21
IN->as : 25
DT->some : 11
VBP->vbp : 49
NNPS->nnps : 23
MD->may : 7
NP^g|NNS->crops : 2
NP^g|NNS->options : 1
RB->up : 2
NP^g|EX->there : 4
-RRB-->-rrb- : 8
:->-- : 18
IN->next : 1
JJS->jjs : 6
NP^g|NNP->nnp : 33
ADVP^g|RB->now : 7
RB->as : 2
NNP->nomura : 4
WHNP^g|WP->wp : 6
NN->money : 3
PRT^g|RP->out : 5
VBD->were : 8
MD->can : 11
NP^g|NNP->nomura : 3
RB->only : 5
DT->that : 3
NNP->japan : 6
NN->company : 7
JJ->next : 4
VBN->been : 13
NN->hybrid : 3
RB->so : 7
NP^g|NN->money : 4
PRT^g|RP->by : 1
NP^g|NNS->banks : 1
ADVP^g|RB->then : 6
ADVP^g|RB->out : 3
POS->' : 9
DT->dt : 29
JJR->more : 14
IN->that : 29
NN->bond : 6
NNP->co. : 6
JJ->other : 11
JJ->as : 1
PRT^g|RP->up : 9
ADVP^g|RB->up : 1
CC->and : 139
NN->seed : 8
CC->but : 20
VBZ->is : 34
NX^g|NNS->nns : 3
IN->with : 30
POS->'s : 51
NP^g|NNS->players : 2
DT->all : 3
NN->corn : 8
VBG->vbg : 94
NP^g|CD->cd : 11
NNS->sales : 5
NP^g|PRP->they : 13
NP^g|NNS->companies : 2
TO->to : 162
ADVP^g|JJR->jjr : 1
NP^g|EX->ex : 2
NP^g|PRP->them : 6
JJ->financial : 6
NN->government : 9
IN->because : 6
DT->each : 5
NP^g|NN->seed : 1
WHNP^g|WDT->which : 14
``->`` : 71
NP^g|PRP->i : 10
ADVP^g|RB->just : 6
NN->baseball : 3
NP^g|JJS->jjs : 1
,->, : 371
IN->of : 154
NNS->rules : 6
CD->two : 6
VBN->proposed : 7
NP^g|RB->there : 1
ADVP^g|RB->so : 4
NN->half : 4
PRP$->his : 16
DT->an : 24
ADVP^g|RBS->most : 1
NP^g|NNP->unesco : 6
IN->about : 14
PRT^g|RP->rp : 1
NN->president : 4
NP^g|RB->rb : 1
VBD->vbd : 80
VP^g|VBN->vbn : 11
NN->plant : 14
VBN->had : 1
NP^g|DT->this : 7
VB->vb : 144
NN->season : 6
RP->over : 1
ADJP^g|JJ->jj : 19
ADVP^g|RB->rb : 92
NP^g|NN->half : 2
VB->be : 36
NNS->funds : 5
PDT->all : 1
NP^g|NNS->nns : 79
VP^g|VBP->are : 1
.->? : 6
VP^g|VBZ->vbz : 7
VP^g|VBD->said : 12
NP^g|WDT->wdt : 1
VBZ->has : 20
NP^g|CD->two : 1
RB->then : 2
NP^g|NNP->japan : 6
RB->n't : 16
JJ->even : 1
.->. : 243
NP^g|NN->president : 5
IN->into : 8
CC->or : 21
NNP->nnp : 325
PRP$->its : 18
VP^g|VBD->vbd : 6
MD->will : 21
NP^g|DT->dt : 6
NN->music : 6
ADJP^g|JJ->next : 1
NN->one : 2
MD->md : 17
RBS->most : 4
VP^g|VBZ->says : 9
NP^g|NN->baseball : 3
CD->cd : 58
NP^g|PRP->prp : 20
VB->play : 5
IN->from : 30
WHADVP^g|WRB->wrb : 2
JJR->jjr : 5
VP^g|VBP->vbp : 5
NN->gene : 10
IN->if : 6
''->'' : 70
IN->so : 1
JJ->only : 1
NNS->securities : 8
RB->because : 1
NP^g|JJS->most : 3
NX^g|NN->nn : 2
VBZ->says : 2
NNS->seeds : 7
JJ->half : 1
NP^g|NN->corn : 1
NNS->companies : 9
ADVP^g|RB->about : 1
NN->investment : 6
VP^g|VBD->were : 1
IN->in : 148
NP^g|NN->cotton : 1
NNS->players : 5
:->: : 11
VBZ->'s : 15
ADVP^g|RBR->more : 1
VBD->was : 27
RB->rb : 57
